"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"KL1";"KLEMA_1x3";1;"CONN_01X03";;;
2;"RASP_CONN1";"Pin_Header_Straight_2x20";1;"Raspberry_PI";;;
3;"D1";"LED-RGB-5MM_Common_Anode";1;"LED_RCBG";;;
4;"Q1,Q2,Q3";"SOT-23";3;"BC817";;;
5;"REF4,REF2,REF1,REF3";"MountingHole_2.7mm_M2.5_DIN965_Pad";4;"MountingHole_2.7mm_M2.5_DIN965_Pad";;;
6;"C1";"C_0603_HandSoldering";1;"0.1";;;
7;"R1,R13,R14";"R_0603_HandSoldering";3;"1K";;;
8;"R2,R3,R9,R10";"R_0603_HandSoldering";4;"4.7K";;;
9;"C2";"C_0805_HandSoldering";1;"4.7";;;
10;"R4";"R_0603_HandSoldering";1;"380";;;
11;"R5";"R_0603_HandSoldering";1;"470";;;
12;"R6";"R_0603_HandSoldering";1;"27K";;;
13;"R7";"R_0603_HandSoldering";1;"2.7K";;;
14;"JP1";"Pin_Header_Straight_1x02";1;"JUMPER";;;
15;"R11,R12";"R_0603_HandSoldering";2;"10K";;;
16;"U1";"DIP-8_W7.62mm";1;"CAT24C32WI-GT3";;;
17;"R15,R17";"R_0603_HandSoldering";2;"60";;;
18;"R16";"R_0603_HandSoldering";1;"300";;;
19;"LCD1";"Pin_Header_Straight_1x16";1;"LCD_16x2";;;
20;"IRRX1";"TSOP38X";1;"TSOP34838";;;
21;"IRTX1";"LED-3MM";1;"L-934F3BT";;;
22;"UART1";"Pin_Header_Straight_1x04";1;"CONN_01X04";;;
23;"SENS4,SENS5,SENS1,SENS2,SENS3";"Pin_Header_Straight_1x04";5;"I2C_SENS_1";;;
24;"REL1";"RAS-05-15";1;"RAS-05-15";;;
25;"D2";"SOD-123";1;"1N4148";;;
26;"POT1";"POT_VERT";1;"10K";;;
27;"G***";"logo";1;"LOGO";;;
28;"SP1";"MURATA_PKM13";1;"MCKPI-G1410-3668";;;
29;"SW1";"TACT_SW_6";1;"SW_PUSH";;;
30;"R8";"R_0603_HandSoldering";1;"330";;;
